EmployeeID,Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EmployeeCount,Gender,JobLevel,JobRole,MaritalStatus,MonthlyIncome,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,StandardHours,Shift,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
1313919,41,No,Travel_Rarely,Cardiology,1,2,Life Sciences,1,Female,2,Nurse,Single,5993,8,Y,Yes,11,80,0,8,0,6,4,0,5
1200302,49,No,Travel_Frequently,Maternity,8,1,Life Sciences,1,Male,2,Other,Married,5130,1,Y,No,23,80,1,10,3,10,7,1,7
1060315,37,Yes,Travel_Rarely,Maternity,2,2,Other,1,Male,1,Nurse,Single,2090,6,Y,Yes,15,80,0,7,3,0,0,0,0
1272912,33,No,Travel_Frequently,Maternity,3,4,Life Sciences,1,Female,1,Other,Married,2909,1,Y,Yes,11,80,0,8,3,8,7,3,0
1414939,27,No,Travel_Rarely,Maternity,2,1,Medical,1,Male,1,Nurse,Married,3468,9,Y,No,12,80,1,6,3,2,2,2,2
1633361,32,No,Travel_Frequently,Maternity,2,2,Life Sciences,1,Male,1,Nurse,Single,3068,0,Y,No,13,80,0,8,2,7,7,3,6
1329390,59,No,Travel_Rarely,Maternity,3,3,Medical,1,Female,1,Nurse,Married,2670,4,Y,Yes,20,80,3,12,3,1,0,0,0
1699288,30,No,Travel_Rarely,Maternity,24,1,Life Sciences,1,Male,1,Nurse,Divorced,2693,1,Y,No,22,80,1,1,2,1,0,0,0
1469740,38,No,Travel_Frequently,Maternity,23,3,Life Sciences,1,Male,3,Therapist,Single,9526,0,Y,No,21,80,0,10,2,9,7,1,8
1101291,36,No,Travel_Rarely,Maternity,27,3,Medical,1,Male,2,Nurse,Married,5237,6,Y,No,13,80,2,17,3,7,7,7,7
1430504,35,No,Travel_Rarely,Maternity,16,3,Medical,1,Male,1,Nurse,Married,2426,0,Y,No,13,80,1,6,5,5,4,0,3
1196281,29,No,Travel_Rarely,Maternity,15,2,Life Sciences,1,Female,2,Nurse,Single,4193,0,Y,Yes,12,80,0,10,3,9,5,0,8
1207951,31,No,Travel_Rarely,Maternity,26,1,Life Sciences,1,Male,1,Other,Divorced,2911,1,Y,No,17,80,1,5,1,5,2,4,3
1080660,34,No,Travel_Rarely,Maternity,19,2,Medical,1,Male,1,Nurse,Divorced,2661,0,Y,No,11,80,1,3,2,2,2,1,2
1420391,28,Yes,Travel_Rarely,Maternity,24,3,Life Sciences,1,Male,1,Nurse,Single,2028,5,Y,Yes,14,80,0,6,4,4,2,0,3
1337254,29,No,Travel_Rarely,Maternity,21,4,Life Sciences,1,Female,3,Therapist,Divorced,9980,1,Y,No,11,80,1,10,1,10,9,8,8
1421335,32,No,Travel_Rarely,Maternity,5,2,Life Sciences,1,Male,1,Other,Divorced,3298,0,Y,Yes,12,80,2,7,5,6,2,0,5
1262683,22,No,Non-Travel,Maternity,16,2,Medical,1,Male,1,Nurse,Divorced,2935,1,Y,Yes,13,80,2,1,2,1,0,0,0
1599218,53,No,Travel_Rarely,Cardiology,2,4,Life Sciences,1,Female,4,Administrative,Married,15427,2,Y,No,16,80,0,31,3,25,8,3,7
1634788,38,No,Travel_Rarely,Maternity,2,3,Life Sciences,1,Male,1,Other,Single,3944,5,Y,Yes,11,80,0,6,3,3,2,1,2
